Project Overview Details,,Feature Req - Need to track the attendence of the field users
Geographical location,"Gulf of Mannar Region - Ramanathapuram and Thoothukudi Districts, Tamilnadu",
Location heirarchy,"Tamilnadu State - 1
Ramanathapuram and Thoothukudi DIstricts - 2     
Kadaladi, Mandapam and Vilathikulam Blocks - 3
HSC - 11 schools       
High School - 24 
ICDS  - 42   
Panchayat - 25     
Village - 60",
Where did you get to know about Avni,Co-founder/ Executive director,
Previous System of Data Management,"Paper-based system for data management
Excel document, Google sheet and drive",
Challenges with existing system,"Limited customization – The current app is project-specific, making it difficult to adapt for new programs.
Manual data linkage – No case management feature, requiring manual linking of individuals in the backend.
Lack of auto-calculations – 
Paper-based limitations – The current system is inefficient for scaling and tracking community-based interventions.
Tight project timelines – Digitization needs to align with donor timelines, requiring a quick and flexible solution.",
Reason for shifting to Avni,"1. Want to go Paperless and have organisation level MIS for project activties
2. Overcoming above challenges
3. Centralized data store and share",
"Any data to be migrated / imported from other system. If yes, provide details","Yes, last 1 year",
Any date you are aiming to roll out this in Avni,Thu Jan 01 2026 00:00:00 GMT+0530 (India Standard Time),
Number of Users ,"Community organizer - 12
Program Coordinator-1
Liasion officer-1
Counselor-1
Accountant - 1
Program manager-1
Executive Director-1
Program Director-1
M&E Officer-1
Total - 20

Each Community Organiser is assigned 5 to 6 villages where they for 2 AG Clubs (Club 1: Age - 8-13, Club 2: 14-18)
1 village - approx 50 -60 AG 
1 CHG - 250 AG, the session will be conducted separately in each village. 
",
,,
Program Details (one by one below) - Episodic Intervention with Beneficiary with a Start and End Date,,
Name of the program,"ALOW (Adolescent Lead Our World) - The idea is to create a “safe and protective environment” for adolescents and children — giving them access to education, awareness, opportunities, and a supportive community.

Models under ALOW:

1. Education (Life skills, adolescent rights, 100% enrollment up to HSC, play for peace, education supports, career guidance); 

2. Health (SRHR-Sexual Reproductive Health Rights, anemic camps, Bio Intensive Gardening (BIG), mental health support; 

3. Child Protection (strengthening Village, Panchayat, Block and District level child protection committees, Tracking records for migration, placing demands to concern authorities, Child Friendly Accountable mechanism (CFAM), Right to Education Act, Child marriage prohibition Act, Interface meetings; 

4. Stengthening Community based Organization with gender aspects (Adolescent Girls Clubs, Community Support Groups (CSG), School Management Committee (SMC), parents committee.",
Objective of the program,"To promote adolescent girls empowerment in all aspects of their lives, to prevent, protect them from and respond to all forms of gender-based violence to ensure that, they are able to exercise their rights to a life free from violence by capacitating of girls, boys, parents, government officials, and community leaders, who can sustainably advocate gender equality and support in the evaluation of existing government and community structures on how they promote or inhibit equal access to education.

",
No of Beneficiaries,7986 (APF project),
Who is Eligible for this program intervention,"Adolescent girls and boys clubs formed. (There will be two set of clubs in each village. Age group between 8 to 13 and 14 to 19 girls and boys. So each village will have four clubs.) in 30 villages of Kadaladi Block. 

Gender: Mainly Girls, Yealy happens for Boys

Representation from all habitations.
Education: mix of school-going and dropouts
Attitude: willingness to lead peer education activities
Socio-economic Diversity
Inclusion of children/youth from marginalized or vulnerable families.
Willingness to participate regularly and take leadership roles.",
When would a person get enrolled into program,"Age - 8-13, 14-18
Growth Chart No needed",
When would a person get exited from the program,"Till the project runs
Death 
Permanent Migration",
Total number of expected beneficiaries in next one year,"Per Beneficiary Monthly: 1
Per Beneficiary Yearly: 12
",
Digitisation success indicators,,
Key success indicators on this program,,
"List the forms with description in following format
- Name of the form
- Key data elements captured
- When does form get filled",,
"Share format of paper forms, if available (Upload the format to the drive documents folder and share the link here)",,
List the reports / Describe each report,,
"Share format of reports, if available",,
,,
Name of the program,Restoration of Mangroves,
Objective of the program,Improved livelihoods in the most vulnerable coastal areas in the face of natural disasters. ,
Who is Eligible for this program intervention,2475 families of Keelavaipar and Kalaignanapuram village improved their livelihoods security and equipped to respond to the challenges of climate change. ,
When would a person get enrolled into program,01.03.2024,
When would a person get exited from the program,28.02.2027,
Total number of expected beneficiaries in next one year,6500,
Digitisation success indicators,,
Key success indicators on this program,,
"List the forms with description in following format
- Name of the form
- Key data elements captured
- When does form get filled",,
"Share format of paper forms, if available (Upload the format to the drive documents folder and share the link here)",,
List the reports / Describe each report,,
"Share format of reports, if available",,